epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,44278.6,0.10857,1.52596,0.18542,0.5183,0.867,0.86299,0.8943,0.93514,0.92886,0.82499,0.84439,0.85503,0.70376,0.13138,1.23659,0.04022,0.41472,0.37578,0.000693351,0.000693351,0.000693351
28,45514.8,0.10322,1.46304,0.18852,0.52189,0.86609,0.85322,0.90902,0.92922,0.92437,0.80976,0.86056,0.8547,0.69982,0.1351,1.21548,0.03569,0.40802,0.3778,0.000665057,0.000665057,0.000665057
29,46756.3,0.10138,1.48383,0.18758,0.50578,0.86469,0.88703,0.8887,0.93454,0.93095,0.84277,0.84356,0.86047,0.71431,0.13888,1.17866,0.0368,0.40631,0.38496,0.000636762,0.000636762,0.000636762
30,47981.5,0.10116,1.45384,0.18567,0.50281,0.86456,0.85771,0.89016,0.9367,0.93174,0.81206,0.84113,0.8566,0.70774,0.13763,1.16957,0.03166,0.43387,0.38246,0.000608468,0.000608468,0.000608468
31,49189.6,0.10245,1.4301,0.18238,0.50554,0.86688,0.84173,0.9167,0.93409,0.92992,0.81695,0.85091,0.85673,0.71936,0.14581,1.15571,0.03193,0.43197,0.38921,0.000580174,0.000580174,0.000580174
32,50416.8,0.09739,1.37451,0.17868,0.49257,0.86934,0.86168,0.91646,0.93125,0.92556,0.83214,0.85428,0.86074,0.72144,0.16007,1.14552,0.03846,0.44069,0.39947,0.00055188,0.00055188,0.00055188
33,51632.5,0.09612,1.36995,0.17845,0.48604,0.86882,0.86595,0.90308,0.93442,0.93012,0.82555,0.85936,0.86556,0.71945,0.13455,1.13161,0.03922,0.41894,0.37876,0.000523586,0.000523586,0.000523586
34,52842.4,0.09505,1.38296,0.17785,0.49694,0.86466,0.8885,0.87312,0.92722,0.92289,0.84089,0.823,0.84939,0.71161,0.13227,1.18141,0.03175,0.43084,0.37929,0.000495291,0.000495291,0.000495291
35,54075.5,0.09168,1.3438,0.17595,0.4798,0.86309,0.86674,0.89476,0.93273,0.92956,0.82613,0.85021,0.861,0.73231,0.15346,1.10504,0.03062,0.42771,0.39791,0.000466997,0.000466997,0.000466997
36,81471.1,0.09126,1.29567,0.17356,0.47712,0.86356,0.88402,0.89223,0.93847,0.9345,0.84194,0.84914,0.86377,0.7344,0.13038,1.11429,0.04029,0.40401,0.38117,0.000438703,0.000438703,0.000438703
37,82503.9,0.08855,1.27895,0.17116,0.47696,0.86315,0.85424,0.92045,0.94126,0.93586,0.81441,0.87596,0.87061,0.74876,0.15763,1.09773,0.03117,0.42418,0.40187,0.000410409,0.000410409,0.000410409
38,83424.8,0.08753,1.27474,0.17578,0.46966,0.86309,0.86726,0.90621,0.93993,0.93568,0.8249,0.86093,0.86494,0.72788,0.14698,1.12149,0.03282,0.435,0.39615,0.000382115,0.000382115,0.000382115
